"ID","COMMUNE","Zone","EMP","Coordonnées GPS","Nom emp fr","Nom de l'emplacement","CT","CB","CS","Caisson","VIDANGE CT","IT B 1","IT B 2","IT B 3","IT CS 1","IT CS 2","IT CS 3"
"131","TZ","TVZ 3","TZ3-42","N 18°05.6996' W 015°59.9811'","Depot Hotel Talhaye","دبو فندق الطلحاية ","","1","","CB","","","","69","","",""
"132","","KS1","KS1-1","N 18°04.5445' W 015°58.3372'","Commissariat Ksar 2","مفوضية الشرطة لكصر 2","","","3","CS (2)","","","","","","","3"
"133","KSAR","KS1","KS1-2","N 18°04.9365' W 015°58.3378'","Stade Cheikh Beidiye","ملعب شيخ ولد بيديه","","1","","CB","","5","","","","",""
"134","KSAR","KS1","KS1-3","N 18°05.2682' W 015°58.1175'","Direction de Budget","قبيل المديرية العامة للميزانية ","","1","","CB","","9","","","","",""
"135","KSAR","KS1","KS1-4","N 18°05.2277' W 015°57.8980'","Mosquee Ibn Abass","مسجد ابن عباس ","","1","","CB","","7","","","","",""
"136","","KS1","KS1-5","N 18°05.3474' W 015°57.8134'","Primature","الوزارة الأولى","1","","","CT","KS1-3","","","","","",""
"137","KSAR","KS1","KS1-6","N 18°05.3150' W 015°57.9976'","ENA","المعهد التربوي الوطني","","1","","CB","","3","","","","",""
"138","","KS1","KS1-7","N 18°05.5176' W 015°57.9583'","L'autorite de regulation","سلطة التنظيم  ","","","2","CS (2)","","","","","","","5"
"139","","KS1","KS1-9","N 18°05.9830' W 015°58.3301'","Hotel El Khater","مقابل فندق الخاطر","1","","","CT","KS1-25","","","","","",""
"140","","KS1","KS1-10","N 18°05.9420' W 015°58.1212'","","مركز الحماية والدمج","1","","","CT","KS1-23","","","","","",""
"141","","KS1","KS1-11","N 18°06.1512' W 015°58.3913'","Societe Mauritanienne du transport","الشركة الموريتانية للنقل ","1","","","CT","KS1-23","","","","","",""
"142","KSAR","KS1","KS1-12","N 18°06.3819' W 015°58.3966'","Carrfour City Smar","كارفور سيتى اسمار","","1","","CB","","36","","","","",""
"143","","KS1","KS1-13","N 18°06.8279' W 015°57.8506'","Stade Ksar","ملعب لكصر ","","","2","CS (2)","","","","","","","7"
"144","","KS1","KS1-14","N 18°07.1348' W 015°57.9030'","Park EGB","ساحة EGB","","","2","CS (2)","","","","","","","9"
"145","KSAR","KS1","KS1-15","N 18°05.9127' W 015°57.3602'","Prison Beyle","سجن البيلة سابقا","","1","","CB","","17","","","","",""
"146","KSAR","KS1","KS1-16","N 18°06.0307' W 015°57.2389'","Garage Ksar","كراج لكصر","","1","","CB","","19","","","","",""
"147","KSAR","KS1","KS1-17","N 18°06.6658' W 015°56.9308'","Route Sokometal","شارع سكومتال","","1","","CB","","24","","","","",""
